id_hogar;id_comun;consumo;inghogar;habitant;comuna;m3_libre;m3_edifi;frente
10807;13101;233,8;618086;5;SANTIAGO;74,5404947974083;49,9160749446561;4,99160749446561
15565;13101;207,4;348340;5;SANTIAGO;63,4056246745166;54,2233903905031;5,42233903905031
11416;13101;183;335000;5;SANTIAGO;54,2414809337017;61,5861597968317;6,15861597968317
11358;13101;198,8;389295;5;SANTIAGO;63,7940759089253;67,6745407069398;6,76745407069398
4626;13101;233;182600;5;SANTIAGO;85,9932904868979;85,4197464361877;8,54197464361877
11492;13101;199;481151;5;SANTIAGO;70,9110380753417;88,7412212737064;8,87412212737064
16134;13102;208,4;150750;5;INDEPENDENCIA;58,9290633373637;39,3641861979574;3,93641861979574
9456;13102;141,36;242961;3;INDEPENDENCIA;56,9986663708129;68,0792613177684;6,80792613177684
10964;13102;170,88;182970;4;INDEPENDENCIA;61,5788580992835;70,2817553614129;7,02817553614129
11461;13102;186,2;452108;5;INDEPENDENCIA;62,1056253596248;80,6088312125606;8,06088312125606
3352;13102;288,72;384921;6;INDEPENDENCIA;105,822374730101;95,9435784120354;9,59435784120354
6357;13102;249,84;263990;9;INDEPENDENCIA;60,9679177303994;108,810688343156;10,8810688343156
11788;13103;210,4;266167;5;CONCHALI;62,0220811192941;45,7867522139584;4,57867522139584
13035;13103;220,8;215000;5;CONCHALI;71,2595654944514;58,6440202543092;5,86440202543092
14675;13103;194;428000;5;CONCHALI;60,9153021067273;65,8947520365317;6,58947520365317
4726;13103;241;150000;5;CONCHALI;88,3377452995716;81,0250363242087;8,10250363242087
9467;13103;217;140000;5;CONCHALI;79,5521489065469;88,9520994309672;8,89520994309671
3187;13103;263,2;398981;7;CONCHALI;88,9455728471789;112,39911550227;11,239911550227
6359;13104;228;131521;5;ESTACION CENTRAL;65,2117504906147;30,2135791965399;3,02135791965399
14015;13104;210,4;461566;5;ESTACION CENTRAL;68,6062546568769;65,5406682618939;6,55406682618939
2688;13104;153,24;440923;3;ESTACION CENTRAL;66,5375350098128;79,7264603100761;7,97264603100761
9468;13104;243,8;133333;5;ESTACION CENTRAL;91,0261030017743;85,0906791954062;8,50906791954062
13482;13105;221,2;450000;5;RECOLETA;64,0530337011858;36,4514689666634;3,64514689666634
15409;13105;207,2;615588;5;RECOLETA;61,0690705525696;47,4989471062603;4,74989471062603
5996;13105;179,2;896170;4;RECOLETA;60,3078859907438;54,5828553830599;5,45828553830599
8908;13105;155,52;283433;4;RECOLETA;53,8030933373592;68,8956702400994;6,88956702400994
12583;13105;197,76;481108;6;RECOLETA;55,7227285370901;75,5768789675753;7,55768789675753
9527;13105;365,44;227000;8;RECOLETA;116,061262039112;78,3271637741119;7,83271637741119
9626;13105;234;147624;5;RECOLETA;87,3642176397258;88,1042470173706;8,81042470173706
4748;13105;186;229833;5;RECOLETA;64,754374384251;88,8413539421675;8,88413539421675
15023;13105;238,4;272673;5;RECOLETA;92,6170950295332;97,5782781843025;9,75782781843025
4300;13105;337,28;397600;8;RECOLETA;109,33858970832;98,3862934219921;9,83862934219921
1857;13105;309,6;47171;6;RECOLETA;151,274485890957;202,480973486013;20,2480973486013
2216;13105;560,64;489270;22;RECOLETA;273,635444215375;394,755470225456;39,4755470225456
2638;13106;188,6;204167;5;PROVIDENCIA;55,1692589854769;56,3696905833868;5,63696905833868
13554;13106;175,36;188260;4;PROVIDENCIA;59,6636935844897;58,1358559212971;5,81358559212971
4697;13106;183,36;421600;4;PROVIDENCIA;66,7481141388215;67,9620476121554;6,79620476121554
8077;13106;230,6;654365;5;PROVIDENCIA;79,6098867253143;69,6967536955236;6,96967536955236
7473;13106;194,56;337263;4;PROVIDENCIA;72,6856776779851;69,7759966237392;6,97759966237392
13331;13106;161,92;217667;4;PROVIDENCIA;61,9607294211308;84,2274502599186;8,42274502599186
4593;13106;311,04;309733;6;PROVIDENCIA;113,489322801254;87,0603332558067;8,70603332558067
6049;13107;335,16;93126;9;PROVIDENCIA;99,4267584983689;102,309647243061;10,2309647243061
1963;13107;206,4;148521;4;PENALOLEN;66,8629244452699;35,3922171498573;3,53922171498573
8546;13107;146,88;476666;3;PEÑALOLEN;52,9968384237705;48,1872150523568;4,81872150523568
2847;13107;174,24;952992;4;PEÑALOLEN;56,0832049478188;48,9936311704363;4,89936311704363
15447;13107;185,6;219120;4;PEÑALOLEN;61,6665941550066;49,5164106945965;4,95164106945965
9944;13107;277,68;125250;6;PEÑALOLEN;85,7700736580207;51,5538539268524;5,15538539268524
12875;13107;199,8;46086;5;PEÑALOLEN;58,9140872615296;51,604969082173;5,1604969082173
8650;13107;253,68;302364;6;PEÑALOLEN;76,0561868554324;56,6958490651025;5,66958490651025
8702;13107;143,28;101500;3;PEÑALOLEN;58,2528181647687;69,0991253589378;6,90991253589378
15502;13107;176;171000;4;PEÑALOLEN;66,8906406125146;78,9039429542662;7,89039429542662
4698;13107;184;184767;4;PEÑALOLEN;71,010260955926;79,8351056591591;7,98351056591591
11237;13107;232,32;471406;6;PEÑALOLEN;74,059385959851;81,2193088950758;8,12193088950758
13344;13107;170,08;764881;4;PEÑALOLEN;65,5363257907787;83,2978543157113;8,32978543157114
12294;13107;145,12;682781;4;PEÑALOLEN;54,0587498821814;84,5198369149918;8,45198369149918
13948;13107;157,44;50000;4;PEÑALOLEN;60,4901486738246;86,2153963463667;8,62153963463667
6884;13107;219,4;278000;5;PEÑALOLEN;82,7435687803955;95,0984640064158;9,50984640064158
5374;13107;198,56;146080;4;PEÑALOLEN;86,5960622743397;105,795812834684;10,5795812834684
7;13107;410,8;345000;10;PEÑALOLEN;132,442047809334;123,937746220209;12,3937746220209
16333;13108;187,36;200000;4;LO BARNECHEA;56,5551397527571;31,6666784632133;3,16666784632133
4355;13108;194,8;718597;5;LO BARNECHEA;55,4797148076655;48,4439809901305;4,84439809901305
14869;13108;199,36;85417;4;LO BARNECHEA;68,9657625947453;51,7583201262961;5,17583201262961
9742;13108;437,4;80905;9;LO BARNECHEA;133,648367035622;58,9245828497537;5,89245828497537
12287;13108;161,12;373149;4;LO BARNECHEA;55,7582103793503;66,7614357292574;6,67614357292574
10158;13108;232,6;137500;5;LO BARNECHEA;86,5936619192859;87,7924165461746;8,77924165461746
10262;13108;380,88;1059080;9;LO BARNECHEA;116,414245020264;87,9614213848085;8,79614213848085
8282;13108;235,2;669623;7;LO BARNECHEA;68,6523429093422;91,5151247864594;9,15151247864594
